"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
NaN,NaN,NaN,0.0,19.428571428571427,1.9047619047619044,1.0,0.0,2.0,161.0,1831506905
NaN,NaN,NaN,0.0,18.950000000000003,1.8999999999999997,1.0,0.0,2.0,162.0,1831506905
NaN,NaN,NaN,0.0,17.285714285714285,1.8095238095238093,1.0,0.0,2.0,163.0,1831506905
NaN,NaN,NaN,0.0,19.047619047619047,1.9047619047619044,1.0,0.0,2.0,164.0,1831506905
NaN,NaN,NaN,0.0,19.047619047619047,1.9047619047619044,1.0,0.0,2.0,165.0,1831506905
NaN,NaN,NaN,0.0,19.047619047619047,1.9047619047619044,1.0,0.0,2.0,166.0,1831506905
NaN,NaN,NaN,0.0,19.954545454545453,1.9090909090909087,1.0,0.0,2.0,167.0,1831506905
NaN,NaN,NaN,0.0,19.761904761904763,1.9047619047619044,1.0,0.0,2.0,168.0,1831506905
NaN,NaN,NaN,0.0,19.047619047619047,1.9047619047619044,1.0,0.0,2.0,169.0,1831506905
NaN,NaN,NaN,0.0,19.90909090909091,1.9090909090909087,1.0,0.0,2.0,170.0,1831506905
NaN,NaN,NaN,0.0,19.90909090909091,1.9090909090909087,1.0,0.0,2.0,171.0,1831506905
NaN,NaN,NaN,0.0,18.954545454545453,1.818181818181818,1.0,0.0,2.0,172.0,1831506905
NaN,NaN,NaN,0.0,19.90909090909091,1.9090909090909087,1.0,0.0,2.0,173.0,1831506905
NaN,NaN,NaN,0.0,19.954545454545453,1.9090909090909087,1.0,0.0,2.0,174.0,1831506905
NaN,NaN,NaN,0.0,19.954545454545453,1.9090909090909087,1.0,0.0,2.0,175.0,1831506905
NaN,NaN,NaN,0.0,19.086956521739133,1.8260869565217386,1.0,0.0,2.0,176.0,1831506905
NaN,NaN,NaN,0.0,20.5,1.9090909090909087,1.0,0.0,2.0,177.0,1831506905
NaN,NaN,NaN,0.0,19.857142857142854,1.9047619047619044,1.0,0.0,2.0,178.0,1831506905
NaN,NaN,NaN,0.0,19.19047619047619,1.9047619047619044,1.0,0.0,2.0,179.0,1831506905
