"total size","ECM","fibers","necrosis","tick"
12104.0,3808.0,8296.0,0.0,303.0
12110.0,3796.0,8314.0,0.0,304.0
12115.0,3793.0,8322.0,0.0,305.0
12116.0,3779.0,8337.0,0.0,306.0
12120.0,3786.0,8334.0,0.0,307.0
12122.0,3768.0,8354.0,0.0,308.0
12126.0,3755.0,8371.0,0.0,309.0
12131.0,3759.0,8372.0,0.0,310.0
12139.0,3750.0,8389.0,0.0,311.0
12145.0,3771.0,8374.0,0.0,312.0
12150.0,3771.0,8379.0,0.0,313.0
12300.0,3910.0,8390.0,0.0,314.0
12302.0,3898.0,8404.0,0.0,315.0
12306.0,3896.0,8410.0,0.0,316.0
12307.0,3889.0,8418.0,0.0,317.0
12311.0,3880.0,8431.0,0.0,318.0
12316.0,3891.0,8425.0,0.0,319.0
12316.0,3881.0,8435.0,0.0,320.0
12319.0,3873.0,8446.0,0.0,321.0
12326.0,3865.0,8461.0,0.0,322.0
12331.0,3877.0,8454.0,0.0,323.0
12336.0,3879.0,8457.0,0.0,324.0
12340.0,3876.0,8464.0,0.0,325.0
12344.0,3861.0,8483.0,0.0,326.0
12346.0,3855.0,8491.0,0.0,327.0
12349.0,3849.0,8500.0,0.0,328.0
12354.0,3850.0,8504.0,0.0,329.0
12359.0,3848.0,8511.0,0.0,330.0
12362.0,3829.0,8533.0,0.0,331.0
12370.0,3819.0,8551.0,0.0,332.0
12379.0,3839.0,8540.0,0.0,333.0
12382.0,3820.0,8562.0,0.0,334.0
12392.0,3831.0,8561.0,0.0,335.0
12396.0,3819.0,8577.0,0.0,336.0
12403.0,3820.0,8583.0,0.0,337.0
12512.0,3930.0,8582.0,0.0,338.0
12514.0,3926.0,8588.0,0.0,339.0
12516.0,3924.0,8592.0,0.0,340.0
12518.0,3933.0,8585.0,0.0,341.0
12520.0,3926.0,8594.0,0.0,342.0
12522.0,3921.0,8601.0,0.0,343.0
12523.0,3916.0,8607.0,0.0,344.0
12528.0,3909.0,8619.0,0.0,345.0
12534.0,3903.0,8631.0,0.0,346.0
12537.0,3909.0,8628.0,0.0,347.0
12542.0,3900.0,8642.0,0.0,348.0
12543.0,3905.0,8638.0,0.0,349.0
12550.0,3911.0,8639.0,0.0,350.0
12546.0,3901.0,8645.0,0.0,351.0
12547.0,3889.0,8658.0,0.0,352.0
12549.0,3883.0,8666.0,0.0,353.0
12554.0,3878.0,8676.0,0.0,354.0
12559.0,3870.0,8689.0,0.0,355.0
12566.0,3867.0,8699.0,0.0,356.0
12566.0,3875.0,8691.0,0.0,357.0
12568.0,3867.0,8701.0,0.0,358.0
12570.0,3866.0,8704.0,0.0,359.0
12575.0,3880.0,8695.0,0.0,360.0
12576.0,3872.0,8704.0,0.0,361.0
12658.0,3946.0,8712.0,0.0,362.0
12659.0,3926.0,8733.0,0.0,363.0
12660.0,3915.0,8745.0,0.0,364.0
12662.0,3903.0,8759.0,0.0,365.0
12664.0,3897.0,8767.0,0.0,366.0
12665.0,3885.0,8780.0,0.0,367.0
12665.0,3880.0,8785.0,0.0,368.0
12666.0,3874.0,8792.0,0.0,369.0
12667.0,3867.0,8800.0,0.0,370.0
12667.0,3868.0,8799.0,0.0,371.0
12670.0,3859.0,8811.0,0.0,372.0
12674.0,3855.0,8819.0,0.0,373.0
12677.0,3860.0,8817.0,0.0,374.0
12680.0,3857.0,8823.0,0.0,375.0
12684.0,3850.0,8834.0,0.0,376.0
12686.0,3847.0,8839.0,0.0,377.0
12687.0,3852.0,8835.0,0.0,378.0
12688.0,3844.0,8844.0,0.0,379.0
12690.0,3848.0,8842.0,0.0,380.0
12693.0,3847.0,8846.0,0.0,381.0
12693.0,3837.0,8856.0,0.0,382.0
12698.0,3839.0,8859.0,0.0,383.0
12702.0,3837.0,8865.0,0.0,384.0
12704.0,3834.0,8870.0,0.0,385.0
12762.0,3884.0,8878.0,0.0,386.0
12763.0,3878.0,8885.0,0.0,387.0
12762.0,3873.0,8889.0,0.0,388.0
12763.0,3869.0,8894.0,0.0,389.0
12766.0,3861.0,8905.0,0.0,390.0
12768.0,3852.0,8916.0,0.0,391.0
12769.0,3850.0,8919.0,0.0,392.0
12771.0,3845.0,8926.0,0.0,393.0
12771.0,3854.0,8917.0,0.0,394.0
12772.0,3858.0,8914.0,0.0,395.0
12773.0,3858.0,8915.0,0.0,396.0
12773.0,3856.0,8917.0,0.0,397.0
12773.0,3850.0,8923.0,0.0,398.0
12774.0,3845.0,8929.0,0.0,399.0
12775.0,3845.0,8930.0,0.0,400.0
12777.0,3846.0,8931.0,0.0,401.0
12777.0,3843.0,8934.0,0.0,402.0
12779.0,3839.0,8940.0,0.0,403.0
12779.0,3837.0,8942.0,0.0,404.0
12779.0,3832.0,8947.0,0.0,405.0
12780.0,3832.0,8948.0,0.0,406.0
12780.0,3827.0,8953.0,0.0,407.0
12781.0,3827.0,8954.0,0.0,408.0
12782.0,3824.0,8958.0,0.0,409.0
12838.0,3876.0,8962.0,0.0,410.0
12840.0,3873.0,8967.0,0.0,411.0
12840.0,3872.0,8968.0,0.0,412.0
12840.0,3872.0,8968.0,0.0,413.0
12841.0,3873.0,8968.0,0.0,414.0
12841.0,3872.0,8969.0,0.0,415.0
12841.0,3869.0,8972.0,0.0,416.0
12841.0,3867.0,8974.0,0.0,417.0
12841.0,3865.0,8976.0,0.0,418.0
12842.0,3863.0,8979.0,0.0,419.0
12841.0,3864.0,8977.0,0.0,420.0
12841.0,3863.0,8978.0,0.0,421.0
12841.0,3861.0,8980.0,0.0,422.0
12842.0,3870.0,8972.0,0.0,423.0
12843.0,3865.0,8978.0,0.0,424.0
12844.0,3863.0,8981.0,0.0,425.0
12845.0,3859.0,8986.0,0.0,426.0
12848.0,3860.0,8988.0,0.0,427.0
12849.0,3864.0,8985.0,0.0,428.0
12850.0,3863.0,8987.0,0.0,429.0
12851.0,3864.0,8987.0,0.0,430.0
12854.0,3868.0,8986.0,0.0,431.0
12854.0,3866.0,8988.0,0.0,432.0
12856.0,3866.0,8990.0,0.0,433.0
12902.0,3910.0,8992.0,0.0,434.0
12893.0,3900.0,8993.0,0.0,435.0
12893.0,3898.0,8995.0,0.0,436.0
12894.0,3896.0,8998.0,0.0,437.0
12894.0,3895.0,8999.0,0.0,438.0
12894.0,3894.0,9000.0,0.0,439.0
12895.0,3890.0,9005.0,0.0,440.0
12895.0,3888.0,9007.0,0.0,441.0
12898.0,3886.0,9012.0,0.0,442.0
12898.0,3893.0,9005.0,0.0,443.0
12900.0,3887.0,9013.0,0.0,444.0
12903.0,3883.0,9020.0,0.0,445.0
12903.0,3892.0,9011.0,0.0,446.0
12905.0,3891.0,9014.0,0.0,447.0
12906.0,3893.0,9013.0,0.0,448.0
12907.0,3889.0,9018.0,0.0,449.0
12910.0,3889.0,9021.0,0.0,450.0
12911.0,3880.0,9031.0,0.0,451.0
12912.0,3876.0,9036.0,0.0,452.0
12912.0,3872.0,9040.0,0.0,453.0
12913.0,3871.0,9042.0,0.0,454.0
12913.0,3871.0,9042.0,0.0,455.0
12913.0,3869.0,9044.0,0.0,456.0
12914.0,3867.0,9047.0,0.0,457.0
12949.0,3900.0,9049.0,0.0,458.0
12949.0,3899.0,9050.0,0.0,459.0
12949.0,3899.0,9050.0,0.0,460.0
12951.0,3899.0,9052.0,0.0,461.0
12952.0,3899.0,9053.0,0.0,462.0
12952.0,3898.0,9054.0,0.0,463.0
12954.0,3899.0,9055.0,0.0,464.0
12952.0,3896.0,9056.0,0.0,465.0
12953.0,3897.0,9056.0,0.0,466.0
12953.0,3897.0,9056.0,0.0,467.0
12955.0,3898.0,9057.0,0.0,468.0
12958.0,3893.0,9065.0,0.0,469.0
12958.0,3901.0,9057.0,0.0,470.0
12959.0,3900.0,9059.0,0.0,471.0
12959.0,3900.0,9059.0,0.0,472.0
12960.0,3894.0,9066.0,0.0,473.0
12961.0,3898.0,9063.0,0.0,474.0
12963.0,3896.0,9067.0,0.0,475.0
12963.0,3895.0,9068.0,0.0,476.0
12963.0,3895.0,9068.0,0.0,477.0
12963.0,3895.0,9068.0,0.0,478.0
12964.0,3897.0,9067.0,0.0,479.0
12964.0,3895.0,9069.0,0.0,480.0
12964.0,3894.0,9070.0,0.0,481.0
12995.0,3921.0,9074.0,0.0,482.0
12986.0,3914.0,9072.0,0.0,483.0
12987.0,3914.0,9073.0,0.0,484.0
12987.0,3913.0,9074.0,0.0,485.0
12987.0,3913.0,9074.0,0.0,486.0
12989.0,3914.0,9075.0,0.0,487.0
12989.0,3911.0,9078.0,0.0,488.0
12991.0,3911.0,9080.0,0.0,489.0
12993.0,3913.0,9080.0,0.0,490.0
12992.0,3912.0,9080.0,0.0,491.0
12993.0,3909.0,9084.0,0.0,492.0
12996.0,3906.0,9090.0,0.0,493.0
12997.0,3907.0,9090.0,0.0,494.0
12997.0,3903.0,9094.0,0.0,495.0
12997.0,3902.0,9095.0,0.0,496.0
12997.0,3902.0,9095.0,0.0,497.0
12997.0,3899.0,9098.0,0.0,498.0
12997.0,3898.0,9099.0,0.0,499.0
12998.0,3898.0,9100.0,0.0,500.0
13000.0,3896.0,9104.0,0.0,501.0
13001.0,3897.0,9104.0,0.0,502.0
13005.0,3898.0,9107.0,0.0,503.0
13006.0,3909.0,9097.0,0.0,504.0
13006.0,3907.0,9099.0,0.0,505.0
13025.0,3922.0,9103.0,0.0,506.0
13027.0,3921.0,9106.0,0.0,507.0
13028.0,3917.0,9111.0,0.0,508.0
13029.0,3918.0,9111.0,0.0,509.0
13029.0,3917.0,9112.0,0.0,510.0
13030.0,3915.0,9115.0,0.0,511.0
13032.0,3920.0,9112.0,0.0,512.0
13032.0,3917.0,9115.0,0.0,513.0
13033.0,3915.0,9118.0,0.0,514.0
13034.0,3914.0,9120.0,0.0,515.0
13034.0,3912.0,9122.0,0.0,516.0
13037.0,3915.0,9122.0,0.0,517.0
13039.0,3910.0,9129.0,0.0,518.0
13042.0,3920.0,9122.0,0.0,519.0
13042.0,3917.0,9125.0,0.0,520.0
13044.0,3914.0,9130.0,0.0,521.0
13045.0,3915.0,9130.0,0.0,522.0
13044.0,3914.0,9130.0,0.0,523.0
13044.0,3912.0,9132.0,0.0,524.0
13045.0,3913.0,9132.0,0.0,525.0
13048.0,3913.0,9135.0,0.0,526.0
